POSITION;LABEL
1t1tt2t/1ww2t2/3Www2/1WWw4/2WWw3/3W4/2T1TTTT r;(0, 1)
3t4/1tww2w1/Ww1W1t2/1WWtw3/3Tw3/3WW3/2T2WC1 g;(0, 1)
3t3t/1tww4/1wwW1w2/1WWtw3/2TTw3/3WW3/2T2WC1 r;(0, 1)
3t4/1tww2w1/WwwW1t2/1TWtw3/3Tw3/3WW3/2T2WC1 r;(0, 1)
3t4/2w3w1/Ww2w3/1WWtwt2/3TwwW1/3WW3/3WT1WW g;(0, 1)
3t4/2w3w1/Ww2w3/1WW1tc2/3TwwW1/3WW3/3WT1WW r;(0, 1)
1t1t3t/1www1t2/2wWww2/1WWw4/2TWw3/3T4/2T2TTT r;(0, 1)
3t4/1tww2w1/Ww1W4/1WWtww2/3TwwW1/3WW3/2T2WT1 g;(0, 1)
1t1t3t/1www1t2/2wWww2/1WWw4/2TTw3/3TW3/2T3TT g;(0, 1)
1t1tt2t/1ww2t2/3Www2/1WWw4/2TWw3/3T4/2T2TTT g;(0, 1)
3t4/2w3w1/Ww2w3/1WW1tt2/3TwwT1/3WWW2/2wW2WW g;(0, 1)
3t4/2t3w1/Ww1Ww3/1WWtwt2/3TwwW1/3WW3/2T1WT2 r;(0, 1)
3t3t/1tww4/WwwW1w2/1TWtw3/3Tw3/3WW3/2T2WC1 g;(0, 1)
3t4/2tt2w1/Ww1W4/1WWtww2/3TwwW1/3WW3/2T2WT1 r;(0, 1)
1t1t3t/1www4/2wWtw2/1WWt4/2TTw3/3TW3/2T3TT r;(0, 1)
3t4/2tt2w1/Ww1W4/1WWtww2/3TwwW1/3WW3/2T1WT2 g;(0, 1)
3t4/2w3w1/Ww2w3/1WW1tc2/3TwwT1/3WWW2/3W2WW g;(0, 1)
3t4/2t3w1/Ww1Ww3/1WWtwt2/3TwwW1/3WW3/2T1W1WW g;(0, 1)
3t4/1tww2w1/Ww1W4/1WWtww2/3Tww2/3WW3/2T2WC1 r;(0, 1)
1t1t3t/1www4/2wWtw2/1WWt4/2TTw3/3TW3/2T2WC1 g;(0, 1)
3t3t/1tww4/1wwWtw2/1WWt4/2TTw3/3TW3/2T2WC1 r;(0, 1)
3t4/2w3w1/Ww2w3/1WWtwt2/3TwwW1/3WW3/2T1W1WW r;(0, 1)
3t3t/1tww4/1wwWtw2/1WWt4/2TT4/3WW3/2T2WC1 g;(0, 1)
