ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;tttttttt/8/8/8/8/8/TTTTTTTT r;a1-c3;6554
1;1;120000;0;tttttttt/8/8/8/2W5/1W6/1TTTTTTT g;f7-f5;834
2;0;113446;0;ttttt1tt/5w2/5w2/8/2W5/1W6/1TTTTTTT r;b1-b3;4413
3;1;119166;0;ttttt1tt/5w2/5w2/8/1WW5/1T6/2TTTTTT g;g7-e5;851
4;0;109033;0;ttttt2t/5t2/4ww2/8/1WW5/1T6/2TTTTTT r;b2-b4;4136
5;1;118315;0;ttttt2t/5t2/4ww2/1W6/1TW5/8/2TTTTTT g;c7-c5;742
6;0;104897;0;tt1tt2t/2w2t2/2w1ww2/1W6/1TW5/8/2TTTTTT r;b3-d5;3138
7;1;117573;0;tt1tt2t/2w2t2/2wWww2/1WW5/2W5/8/2TTTTTT g;a7-c5;1697
8;0;101759;0;1t1tt2t/1ww2t2/2tWww2/1WW5/2W5/8/2TTTTTT r;d1-d3;4480
9;1;115876;0;1t1tt2t/1ww2t2/2tWww2/1WW5/2WW4/3W4/2T1TTTT g;c5-e3;1336
10;0;97279;0;1t1tt2t/1ww2t2/3Www2/1WWw4/2WWw3/3W4/2T1TTTT r;e1-c3;1536
11;1;114540;0;1t1tt2t/1ww2t2/3Www2/1WWw4/2TWw3/3T4/2T2TTT g;e7-c5;6538
12;0;95743;0;1t1t3t/1www1t2/2wWww2/1WWw4/2TWw3/3T4/2T2TTT r;f1-d3;2387
13;1;108002;0;1t1t3t/1www1t2/2wWww2/1WWw4/2TTw3/3TW3/2T3TT g;f6-d4;1696
14;0;93356;0;1t1t3t/1www4/2wWtw2/1WWt4/2TTw3/3TW3/2T3TT r;h1-f1;2927
15;1;106306;0;1t1t3t/1www4/2wWtw2/1WWt4/2TTw3/3TW3/2T2WC1 g;b7-b5;3859
16;0;90429;0;3t3t/1tww4/1wwWtw2/1WWt4/2TTw3/3TW3/2T2WC1 r;d2-e3;2717
17;1;102447;0;3t3t/1tww4/1wwWtw2/1WWt4/2TT4/3WW3/2T2WC1 g;e5-e3;2646
18;0;87712;0;3t3t/1tww4/1wwW1w2/1WWtw3/2TTw3/3WW3/2T2WC1 r;c3-a5;874
19;1;99801;0;3t3t/1tww4/WwwW1w2/1TWtw3/3Tw3/3WW3/2T2WC1 g;h7-f5;3079
20;0;86838;0;3t4/1tww2w1/WwwW1t2/1TWtw3/3Tw3/3WW3/2T2WC1 r;b4-c5;1020
21;1;96722;0;3t4/1tww2w1/Ww1W1t2/1WWtw3/3Tw3/3WW3/2T2WC1 g;f5-f3;2418
22;0;85818;0;3t4/1tww2w1/Ww1W4/1WWtww2/3Tww2/3WW3/2T2WC1 r;g1-g3;2111
23;1;94304;0;3t4/1tww2w1/Ww1W4/1WWtww2/3TwwW1/3WW3/2T2WT1 g;b6-d6;2973
24;0;83707;0;3t4/2tt2w1/Ww1W4/1WWtww2/3TwwW1/3WW3/2T2WT1 r;g1-e1;3036
25;1;91331;0;3t4/2tt2w1/Ww1W4/1WWtww2/3TwwW1/3WW3/2T1WT2 g;d6-f4;10127
26;0;80671;0;3t4/2t3w1/Ww1Ww3/1WWtwt2/3TwwW1/3WW3/2T1WT2 r;f1-h1;787
27;1;81204;0;3t4/2t3w1/Ww1Ww3/1WWtwt2/3TwwW1/3WW3/2T1W1WW g;c6-d5;3802
28;0;79884;0;3t4/2w3w1/Ww2w3/1WWtwt2/3TwwW1/3WW3/2T1W1WW r;c1-e1;925
29;1;77402;0;3t4/2w3w1/Ww2w3/1WWtwt2/3TwwW1/3WW3/3WT1WW g;d4-f4;8969
30;0;78959;0;3t4/2w3w1/Ww2w3/1WW1tc2/3TwwW1/3WW3/3WT1WW r;e1-g3;7000
31;1;68433;0;3t4/2w3w1/Ww2w3/1WW1tc2/3TwwT1/3WWW2/3W2WW g;f4-c1;270
end; - ; - ; - ;3t4/2w3w1/Ww2w3/1WW1tt2/3TwwT1/3WWW2/2wW2WW g; - ; - 
