Splitting data in Training and Test Data...
Splitting Done!
Training Deep Belief Network...
[START] Pre-training step:
>> Epoch 1 finished 	RBM Reconstruction error 18.131321
>> Epoch 2 finished 	RBM Reconstruction error 17.757700
>> Epoch 3 finished 	RBM Reconstruction error 17.373872
>> Epoch 4 finished 	RBM Reconstruction error 16.972712
>> Epoch 5 finished 	RBM Reconstruction error 16.554433
>> Epoch 6 finished 	RBM Reconstruction error 16.108719
>> Epoch 7 finished 	RBM Reconstruction error 15.622780
>> Epoch 8 finished 	RBM Reconstruction error 15.108658
>> Epoch 9 finished 	RBM Reconstruction error 14.600239
>> Epoch 10 finished 	RBM Reconstruction error 14.124576
>> Epoch 11 finished 	RBM Reconstruction error 13.753209
>> Epoch 12 finished 	RBM Reconstruction error 13.502331
>> Epoch 13 finished 	RBM Reconstruction error 13.339106
>> Epoch 14 finished 	RBM Reconstruction error 13.239214
>> Epoch 15 finished 	RBM Reconstruction error 13.154869
>> Epoch 16 finished 	RBM Reconstruction error 13.085733
>> Epoch 17 finished 	RBM Reconstruction error 13.015054
>> Epoch 18 finished 	RBM Reconstruction error 12.940587
>> Epoch 19 finished 	RBM Reconstruction error 12.862172
>> Epoch 20 finished 	RBM Reconstruction error 12.777563
>> Epoch 21 finished 	RBM Reconstruction error 12.682606
>> Epoch 22 finished 	RBM Reconstruction error 12.585337
>> Epoch 23 finished 	RBM Reconstruction error 12.472202
>> Epoch 24 finished 	RBM Reconstruction error 12.351751
>> Epoch 25 finished 	RBM Reconstruction error 12.233308
>> Epoch 26 finished 	RBM Reconstruction error 12.101334
>> Epoch 27 finished 	RBM Reconstruction error 11.955816
>> Epoch 28 finished 	RBM Reconstruction error 11.811526
>> Epoch 29 finished 	RBM Reconstruction error 11.655546
>> Epoch 30 finished 	RBM Reconstruction error 11.483800
>> Epoch 31 finished 	RBM Reconstruction error 11.323572
>> Epoch 32 finished 	RBM Reconstruction error 11.158877
>> Epoch 33 finished 	RBM Reconstruction error 10.987485
>> Epoch 34 finished 	RBM Reconstruction error 10.826663
>> Epoch 35 finished 	RBM Reconstruction error 10.661107
>> Epoch 36 finished 	RBM Reconstruction error 10.501315
>> Epoch 37 finished 	RBM Reconstruction error 10.342360
>> Epoch 38 finished 	RBM Reconstruction error 10.205072
>> Epoch 39 finished 	RBM Reconstruction error 10.063388
>> Epoch 40 finished 	RBM Reconstruction error 9.929840
>> Epoch 41 finished 	RBM Reconstruction error 9.803214
>> Epoch 42 finished 	RBM Reconstruction error 9.680995
>> Epoch 43 finished 	RBM Reconstruction error 9.557621
>> Epoch 44 finished 	RBM Reconstruction error 9.444718
>> Epoch 45 finished 	RBM Reconstruction error 9.329146
>> Epoch 46 finished 	RBM Reconstruction error 9.219130
>> Epoch 47 finished 	RBM Reconstruction error 9.115844
>> Epoch 48 finished 	RBM Reconstruction error 9.020512
>> Epoch 49 finished 	RBM Reconstruction error 8.924628
>> Epoch 50 finished 	RBM Reconstruction error 8.828399
>> Epoch 51 finished 	RBM Reconstruction error 8.736424
>> Epoch 52 finished 	RBM Reconstruction error 8.644760
>> Epoch 53 finished 	RBM Reconstruction error 8.561216
>> Epoch 54 finished 	RBM Reconstruction error 8.475776
>> Epoch 55 finished 	RBM Reconstruction error 8.396491
>> Epoch 56 finished 	RBM Reconstruction error 8.318072
>> Epoch 57 finished 	RBM Reconstruction error 8.247469
>> Epoch 58 finished 	RBM Reconstruction error 8.176158
>> Epoch 59 finished 	RBM Reconstruction error 8.108105
>> Epoch 60 finished 	RBM Reconstruction error 8.039216
>> Epoch 61 finished 	RBM Reconstruction error 7.974455
>> Epoch 62 finished 	RBM Reconstruction error 7.913120
>> Epoch 63 finished 	RBM Reconstruction error 7.856128
>> Epoch 64 finished 	RBM Reconstruction error 7.794746
>> Epoch 65 finished 	RBM Reconstruction error 7.736470
>> Epoch 66 finished 	RBM Reconstruction error 7.687196
>> Epoch 67 finished 	RBM Reconstruction error 7.636888
>> Epoch 68 finished 	RBM Reconstruction error 7.588160
>> Epoch 69 finished 	RBM Reconstruction error 7.543535
>> Epoch 70 finished 	RBM Reconstruction error 7.496688
>> Epoch 71 finished 	RBM Reconstruction error 7.449593
>> Epoch 72 finished 	RBM Reconstruction error 7.403079
>> Epoch 73 finished 	RBM Reconstruction error 7.359740
>> Epoch 74 finished 	RBM Reconstruction error 7.315993
>> Epoch 75 finished 	RBM Reconstruction error 7.277093
>> Epoch 76 finished 	RBM Reconstruction error 7.232290
>> Epoch 77 finished 	RBM Reconstruction error 7.189613
>> Epoch 78 finished 	RBM Reconstruction error 7.148554
>> Epoch 79 finished 	RBM Reconstruction error 7.107901
>> Epoch 80 finished 	RBM Reconstruction error 7.064953
>> Epoch 81 finished 	RBM Reconstruction error 7.022607
>> Epoch 82 finished 	RBM Reconstruction error 6.984432
>> Epoch 83 finished 	RBM Reconstruction error 6.947395
>> Epoch 84 finished 	RBM Reconstruction error 6.908956
>> Epoch 85 finished 	RBM Reconstruction error 6.868545
>> Epoch 86 finished 	RBM Reconstruction error 6.829512
>> Epoch 87 finished 	RBM Reconstruction error 6.790898
>> Epoch 88 finished 	RBM Reconstruction error 6.752601
>> Epoch 89 finished 	RBM Reconstruction error 6.720449
>> Epoch 90 finished 	RBM Reconstruction error 6.682402
>> Epoch 91 finished 	RBM Reconstruction error 6.644300
>> Epoch 92 finished 	RBM Reconstruction error 6.608327
>> Epoch 93 finished 	RBM Reconstruction error 6.572170
>> Epoch 94 finished 	RBM Reconstruction error 6.535390
>> Epoch 95 finished 	RBM Reconstruction error 6.496185
>> Epoch 96 finished 	RBM Reconstruction error 6.460136
>> Epoch 97 finished 	RBM Reconstruction error 6.420894
>> Epoch 98 finished 	RBM Reconstruction error 6.384497
>> Epoch 99 finished 	RBM Reconstruction error 6.349056
>> Epoch 100 finished 	RBM Reconstruction error 6.311129
